name	unscaled_coef	scaled_coef
Stage	0.633758257022886	0.291116596933173
MUnknown_8_BMC.Med.Genomics.2011_PMID.21214954	-0.05798412290517623	-0.0574151788953638
XBP1_Single_Gene	-0.07857638732694189	-0.07310310902389104
IgG_Breast.Cancer.Research.2008_PMID.19272155	-0.11844094754861649	-0.12405518116938989
MM_Red18_BMC.Med.Genomics.2011_PMID.21214954	-0.00674459591126176	-0.007152086933083189
MM_Green7_BMC.Med.Genomics.2011_PMID.21214954	-0.09202569429117255	-0.09084733535486891
HER2_AMPLIFIED_PerouLab_HER2_Amplicon_BMC_Med_Genomics_2011_PMID.21214954	-0.017421192716639004	-0.018079847110558094
Charoentong_Immature_dendritic_cell_CellRep.2017_PMID.28052254	0.005696119222565059	0.005106561269659862
